Date,Portfolio_Value
2024-08-01,10595.653899991928
2024-08-02,10468.227893081199
2024-08-05,10468.227893081199
2024-08-06,10468.227893081199
2024-08-07,10468.227893081199
2024-08-08,10468.227893081199
2024-08-09,10452.533398488873
2024-08-12,10340.049852193564
2024-08-13,10324.547528577084
2024-08-14,10296.564097034507
2024-08-16,10296.564097034507
2024-08-19,10281.126969452747
2024-08-20,10333.278579846465
2024-08-21,10352.102317498848
2024-08-22,10348.30235997701
2024-08-23,10361.081715778966
2024-08-26,10448.28852964966
2024-08-27,10364.362878742093
2024-08-28,10349.511746636825
2024-08-29,10505.7939297927
2024-08-30,10427.7391622274
2024-09-02,10473.501094720139
2024-09-03,10424.285351238997
2024-09-04,10461.758477552721
2024-09-05,10297.265274970176
2024-09-06,10297.265274970176
2024-09-09,10297.265274970176
2024-09-10,10297.265274970176
2024-09-11,10297.265274970176
2024-09-12,10281.827096147132
2024-09-13,10231.974633207554
2024-09-16,10207.78568167175
2024-09-17,10207.78568167175
2024-09-18,10192.481655162499
2024-09-19,10235.837237760566
2024-09-20,10349.013324931855
2024-09-23,10400.900419056421
2024-09-24,10357.486786976448
2024-09-25,10357.486786976448
2024-09-26,10357.486786976448
2024-09-27,10341.958321028958
2024-09-30,9990.844951984478
2024-10-01,9990.844951984478
2024-10-03,9990.844951984478
2024-10-04,9990.844951984478
2024-10-07,9990.844951984478
2024-10-08,9990.844951984478
2024-10-09,9990.844951984478
2024-10-10,9990.844951984478
2024-10-11,9975.866173945522
2024-10-14,9978.956328079752
2024-10-15,9771.746812462054
2024-10-16,9844.814813925632
2024-10-17,9861.901074632475
2024-10-18,9882.80347875595
2024-10-21,9954.781153529062
2024-10-22,9766.839447177046
2024-10-23,9731.759215365879
2024-10-24,9741.029677768565
2024-10-25,9654.145500491637
2024-10-28,9701.403732546734
2024-10-29,9742.48255151128
2024-10-30,9770.838206886665
2024-10-31,9684.68270442586
2024-11-01,9732.667820941268
2024-11-04,9453.097913295902
2024-11-05,9453.097913295902
2024-11-06,9453.097913295902
2024-11-07,9453.097913295902
2024-11-08,9453.097913295902
2024-11-11,9453.097913295902
2024-11-12,9453.097913295902
2024-11-13,9453.097913295902
2024-11-14,9453.097913295902
2024-11-18,9453.097913295902
2024-11-19,9453.097913295902
2024-11-21,9438.925352706254
2024-11-22,9766.16311770945
2024-11-25,9932.867481507117
2024-11-26,10000.012571861407
2024-11-27,9980.718573636761
2024-11-28,9807.839446222872
2024-11-29,9973.000594244495
2024-12-02,10103.81853945697
2024-12-03,10213.026712524712
2024-12-04,10102.274373424905
2024-12-05,10203.37876315637
2024-12-06,10122.341880049613
2024-12-09,9995.768728477282
2024-12-10,9916.274110890552
2024-12-11,9864.950783264807
2024-12-12,9746.868169228783
2024-12-13,9823.660258695396
2024-12-16,9788.544497742205
2024-12-17,9611.03477274416
2024-12-18,9672.39090342624
2024-12-19,9496.42344394822
2024-12-20,9288.372467802392
2024-12-23,9274.44687189864
2024-12-24,9277.861489426661
2024-12-26,9230.817308786174
2024-12-27,9264.962549834492
2024-12-30,9186.428215153795
2024-12-31,9222.46994692219
2025-01-01,9266.478808178672
2025-01-02,9422.406780412375
2025-01-03,9493.351415285237
2025-01-06,9227.961648931658
2025-01-07,9227.961648931658
2025-01-08,9214.126623970742
2025-01-09,9122.156475732727
2025-01-10,9122.156475732727
2025-01-13,9122.156475732727
2025-01-14,9122.156475732727
2025-01-15,9122.156475732727
2025-01-16,9122.156475732727
2025-01-17,9122.156475732727
2025-01-20,9108.480079217386
2025-01-21,8873.625745051113
2025-01-22,8873.625745051113
2025-01-23,8873.625745051113
2025-01-24,8873.625745051113
2025-01-27,8873.625745051113
2025-01-28,8873.625745051113
2025-01-29,8873.625745051113
2025-01-30,8873.625745051113
2025-01-31,8873.625745051113
2025-02-01,8873.625745051113
2025-02-03,8873.625745051113
2025-02-04,8873.625745051113
2025-02-05,8873.625745051113
2025-02-06,8873.625745051113
2025-02-07,8873.625745051113
2025-02-10,8873.625745051113
2025-02-11,8873.625745051113
2025-02-12,8873.625745051113
2025-02-13,8873.625745051113
2025-02-14,8873.625745051113
2025-02-17,8873.625745051113
2025-02-18,8873.625745051113
2025-02-19,8873.625745051113
2025-02-20,8873.625745051113
2025-02-21,8873.625745051113
2025-02-24,8873.625745051113
2025-02-25,8873.625745051113
2025-02-27,8873.625745051113
2025-02-28,8873.625745051113
2025-03-03,8873.625745051113
2025-03-04,8873.625745051113
2025-03-05,8873.625745051113
2025-03-06,8860.3219583269
2025-03-07,9154.788156585031
2025-03-10,9071.283314837643
2025-03-11,9136.475335281413
2025-03-12,9207.894887421882
2025-03-13,9140.870232016825
2025-03-17,9074.578810973739
2025-03-18,9074.578810973739
2025-03-19,9135.376836569381
2025-03-20,9296.526056492085
2025-03-21,9349.266621091592
2025-03-24,9537.885523913366
2025-03-25,9415.924208372022
2025-03-26,9325.094238103187
2025-03-27,9362.81747753517
2025-03-28,9340.109759496141
2025-04-01,9175.297073425429
2025-04-02,9150.934016432959
2025-04-03,9150.934016432959
2025-04-04,9150.934016432959
2025-04-07,9150.934016432959
2025-04-08,9137.214475178936
2025-04-09,9161.560934238476
2025-04-11,9421.25459428356
2025-04-15,9584.72340464665
2025-04-16,9578.540675420969
2025-04-17,9850.600745545742
2025-04-21,10012.909520981002
2025-04-22,9979.67390174029
2025-04-23,10047.689632992728
2025-04-24,10044.970989035828
2025-04-25,10044.970989035828
2025-04-28,10029.911062515534
2025-04-29,10256.331040294494
2025-04-30,10295.16703082494
2025-05-02,10403.614770585233
2025-05-05,10487.881814852404
2025-05-06,10396.062695750152
2025-05-07,10396.062695750152
2025-05-08,10396.062695750152
2025-05-09,10396.062695750152
2025-05-12,10396.062695750152
2025-05-13,10396.062695750152
2025-05-14,10396.062695750152
2025-05-15,10396.062695750152
2025-05-16,10396.062695750152
2025-05-19,10396.062695750152
2025-05-20,10396.062695750152
2025-05-21,10396.062695750152
2025-05-22,10396.062695750152
2025-05-23,10396.062695750152
2025-05-26,10396.062695750152
2025-05-27,10396.062695750152
2025-05-28,10396.062695750152
2025-05-29,10396.062695750152
2025-05-30,10396.062695750152
2025-06-02,10396.062695750152
2025-06-03,10396.062695750152
2025-06-04,10396.062695750152
2025-06-05,10396.062695750152
2025-06-06,10396.062695750152
2025-06-09,10396.062695750152
2025-06-10,10396.062695750152
2025-06-11,10380.476394856973
2025-06-12,10312.68979835848
2025-06-13,10312.68979835848
2025-06-16,10297.228494312967
2025-06-17,10249.960013333626
2025-06-18,10242.0820801358
2025-06-19,10265.000746102296
2025-06-20,10500.622726617694
2025-06-23,10433.302286726492
2025-06-24,10390.331661848137
2025-06-25,10508.501541607908
2025-06-26,10709.03171223516
2025-06-27,10852.983437846513
2025-06-30,10746.988465593164
2025-07-01,10946.086605381683
2025-07-02,10861.022691646695
2025-07-03,10861.022691646695
2025-07-04,10861.022691646695
2025-07-07,10844.739299305396
2025-07-08,10801.080883607856
2025-07-09,10801.080883607856
2025-07-10,10801.080883607856
2025-07-11,10801.080883607856
2025-07-14,10801.080883607856
2025-07-15,10801.080883607856
2025-07-16,10801.080883607856
2025-07-17,10801.080883607856
2025-07-18,10801.080883607856
2025-07-21,10801.080883607856
2025-07-22,10801.080883607856
2025-07-23,10784.887359044727
2025-07-24,10604.682962410632
2025-07-25,10604.682962410632
2025-07-28,10604.682962410632
2025-07-29,10588.783887504469
2025-07-30,10536.478851636555
2025-07-31,10372.206586673736
2025-08-01,10372.206586673736
2025-08-04,10372.206586673736
2025-08-05,10372.206586673736
2025-08-06,10356.656052061033
2025-08-07,10315.883465330682
2025-08-08,10315.883465330682
2025-08-11,10315.883465330682
2025-08-12,10315.883465330682
2025-08-13,10315.883465330682
2025-08-14,10315.883465330682
2025-08-18,10315.883465330682
2025-08-19,10315.883465330682
2025-08-20,10315.883465330682
2025-08-21,10315.883465330682
2025-08-22,10315.883465330682
2025-08-25,10315.883465330682
2025-08-26,10315.883465330682
2025-08-28,10315.883465330682
2025-08-29,10315.883465330682
2025-09-01,10315.883465330682
2025-09-02,10315.883465330682
2025-09-03,10315.883465330682
2025-09-04,10315.883465330682
2025-09-05,10315.883465330682
2025-09-08,10315.883465330682
2025-09-09,10315.883465330682
2025-09-10,10315.883465330682
2025-09-11,10315.883465330682
2025-09-12,10315.883465330682
2025-09-15,10315.883465330682
2025-09-16,10315.883465330682
2025-09-17,10315.883465330682
